"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.193967000E0,1.129294905E0,-9.643564269E-1,2.959393371E0
5.213939000E0,5.240170149E-1,-1.579574438E0,2.164548603E0
5.233911000E0,5.970173827E-1,-1.718800735E0,-1.787371033E-1
5.253882000E0,9.490881043E-1,-1.513474296E0,-1.902624916E0
5.273854000E0,1.363443513E0,-1.035044294E0,-2.420526255E0
5.293826333E0,1.079475678E0,-4.186273116E-1,-1.812583058E0
5.313797333E0,8.192163283E-1,-1.876488447E-1,-1.423980029E0
5.333769333E0,3.936783022E-1,-4.197765818E-1,-2.129630785E0
5.353741333E0,2.071720217E-1,-3.386651757E-1,-3.364812407E0
5.373712333E0,2.484735919E-2,-5.821897209E-2,-3.946221524E0
5.393684333E0,-3.611037562E-2,1.480158323E-1,-3.278656023E0
5.413656333E0,4.283852547E-1,4.393831730E-2,-1.798614060E0
5.433627333E0,6.118026522E-1,6.025701910E-2,1.476018494E-1
5.453599333E0,2.138644158E-1,-4.159329146E-2,1.458580343E0
5.473571333E0,-1.474864217E-1,-1.076522103E-1,1.610720217E0
5.493542333E0,-5.138654080E-1,1.195688358E-1,9.976595360E-1
5.513514333E0,-5.245280615E-1,5.902872375E-1,6.537105238E-1
5.533486333E0,-3.343635254E-1,7.168458349E-1,1.256637980E0
5.553457333E0,-1.067689701E-1,5.028163996E-1,2.336153272E0
5.573429333E0,-8.294456667E-1,1.057030410E0,3.363244768E0
5.593401333E0,-1.570475585E0,2.074521362E0,3.101856687E0
5.613373333E0,-1.000131446E0,2.004032593E0,1.282682648E0
5.633344333E0,2.058496191E-1,1.333216624E0,7.785006309E-1
5.653316333E0,-1.619852325E-1,7.843414146E-1,3.238554649E0
5.673288333E0,-6.127784794E-1,-1.026092792E-1,4.603517561E0
5.693259333E0,-9.507956374E-1,-2.053676623E-1,3.042920846E0
5.713231333E0,-9.341481028E-1,1.776471823E-1,6.715527177E-2
5.733203333E0,-4.757715654E-1,2.571213681E-1,-2.030948496E0
5.753174333E0,-4.773147918E-2,-1.956355566E-1,-2.878339267E0
5.773146333E0,-5.231065303E-4,-9.891418970E-1,-2.621876296E0
5.793118333E0,2.307326645E-1,-1.669193543E0,-1.975764229E0
5.813089333E0,5.140146947E-1,-1.799195273E0,-1.586896906E0
5.833061333E0,4.636820085E-1,-1.641218709E0,-2.037074624E0
5.853033333E0,4.045105981E-1,-1.409785913E0,-2.771581389E0
5.873004333E0,2.133774707E-1,-1.163950841E0,-3.202500132E0
5.892976333E0,-8.336660407E-2,-8.078331882E-1,-3.096887723E0
5.912948333E0,2.643877029E-2,-3.953232336E-1,-2.277423838E0
5.932919333E0,1.428071691E-1,3.342151523E-2,-9.445849442E-1
5.952891333E0,3.268730594E-1,1.432217002E-1,8.355378807E-2
5.972863333E0,3.787058122E-1,2.674305940E-1,5.480109912E-1
5.992834333E0,1.427781889E-1,7.362650228E-1,6.820233268E-1
6.012806333E0,-1.046291176E-1,9.545386595E-1,1.126980066E0
6.032778333E0,1.054899099E-1,6.820320976E-1,2.003457227E0
6.052749333E0,3.368989877E-1,2.520483238E-1,2.693376049E0
6.072721333E0,1.678124580E-1,-2.584586263E-2,3.141390297E0
6.092693333E0,-9.183860560E-1,3.843766612E-1,2.817149910E0
6.112664333E0,-9.488789932E-1,7.784491754E-1,1.279199461E0
6.132636333E0,6.729315642E-1,9.756944704E-1,-1.414008772E-1
6.152608333E0,1.151061385E0,5.714998412E-1,-9.161844331E-1
6.172579333E0,4.782275787E-1,-6.049120009E-2,-6.377464557E-1
6.192551333E0,-9.071416045E-2,-7.975666469E-1,-1.975943738E-1
6.212523333E0,-2.225012833E-1,-1.161463435E0,-5.933754444E-2
6.232495333E0,4.554399926E-1,-1.029742624E0,5.885924220E-2
6.252466333E0,1.008825379E0,-1.015840576E0,4.250861460E-1
6.272438333E0,1.203332642E0,-9.546053177E-1,1.166173368E0
6.292409958E0,1.137802019E0,-1.019706755E0,1.195328754E0
6.312380958E0,6.921866646E-1,-8.319982687E-1,1.024362016E-1
6.332352958E0,1.939575519E-1,-4.467360467E-1,-1.380413595E0
6.352324958E0,-2.118798434E-2,-1.532084522E-1,-2.507381381E0
6.372295958E0,-3.088170767E-1,-1.173009932E-2,-2.659588498E0
6.392267958E0,-1.902110763E-1,5.937964439E-2,-2.203754184E0
6.412239958E0,-8.049260622E-2,3.037014574E-2,-1.575577866E0
6.432210958E0,1.468696410E-1,2.696218380E-1,-8.123139095E-1
6.452182958E0,2.379757933E-1,-7.351177990E-2,-7.539662987E-1
6.472154958E0,-1.196741039E-1,-2.592547247E-1,-6.245662469E-1
6.492125958E0,-1.973514586E-1,-1.346356487E-1,-1.643418431E-2
6.512097958E0,-3.003633916E-1,4.904583094E-1,7.319199568E-1
6.532069958E0,-3.550419294E-2,9.490253198E-1,6.846879029E-1
6.552040958E0,1.497034575E-1,1.422605934E0,3.961927146E-1
6.572012958E0,6.249857115E-1,1.416067577E0,4.888652354E-1
6.591984958E0,8.000177266E-1,8.530929762E-1,1.608255031E0
6.611955958E0,-4.193134823E-1,9.673165798E-1,2.800636203E0
6.631927958E0,-1.817441217E0,1.982901925E0,1.935911361E0
6.651899958E0,-1.627641913E0,2.680102285E0,7.638568640E-2
6.671870958E0,2.380427439E-1,1.928837399E0,3.261237752E-1
6.691842958E0,7.182338177E-1,6.285979021E-1,3.070862351E0
6.711814958E0,1.800475375E-1,-5.526226902E-1,4.155371751E0
6.731785958E0,-6.117295254E-1,-7.366591251E-1,2.092003368E0
6.751757958E0,-7.644689213E-1,-1.906584066E-1,-7.645053202E-1
6.771729958E0,-5.313986130E-1,4.665768188E-1,-1.695905378E0
6.791700958E0,-1.324227700E-1,3.920388526E-1,-8.473282063E-1
6.811672958E0,2.015719788E-1,-5.395518243E-1,1.342579186E-1
6.831644958E0,5.267201096E-2,-1.181674921E0,4.518903673E-1
6.851615958E0,-7.283511087E-3,-1.445803592E0,-3.230031163E-1
6.871587958E0,7.358242158E-2,-1.497768382E0,-1.857282683E0
6.891559958E0,1.140503433E-1,-1.436001905E0,-2.844690880E0
6.911530958E0,6.566474341E-2,-1.288014139E0,-2.848274639E0
6.931502958E0,-1.251097304E-1,-1.305555786E0,-2.347040203E0
6.951474958E0,-3.215260730E-1,-1.315510086E0,-2.235265998E0
6.971445958E0,-5.968204777E-1,-9.483569831E-1,-2.222058892E0
6.991417958E0,-4.723851505E-1,-2.988763350E-1,-2.262409358E0
7.011389958E0,-1.643395042E-1,6.711381501E-1,-1.783077423E0
7.031360958E0,1.989350307E-1,1.268672719E0,-9.606133318E-1
7.051332958E0,-1.482413521E-1,1.305942872E0,8.641600013E-3
7.071304958E0,-5.432387496E-1,9.566851723E-1,9.522319329E-1
7.091275958E0,-2.650325777E-1,5.199624825E-1,1.987966783E0
7.111247958E0,7.486687213E-2,2.291032648E-1,3.282725101E0
7.131219958E0,-5.583243102E-2,-1.980580580E-1,4.194199017E0
7.151190958E0,-5.901788447E-1,5.449137211E-2,4.144421085E0
7.171162958E0,-7.052470786E-1,1.247168999E0,2.622406638E0
7.191134958E0,6.093066951E-1,1.888627852E0,1.225603883E0
7.211105958E0,1.636911650E0,1.929756582E0,1.449157555E0
7.231077958E0,1.406373186E0,8.363412881E-1,1.972587436E0
7.251049958E0,5.151008150E-1,-3.656269795E-1,1.669596416E0
7.271020958E0,-3.028799967E-1,-9.992499787E-1,4.086665797E-1
7.290992958E0,-1.150985663E-1,-1.168867764E0,-1.179815506E0
7.310965583E0,3.718552874E-1,-8.675116253E-1,-2.095730968E0
7.330936583E0,1.003175068E0,-7.193291473E-1,-1.700448664E0
7.350908583E0,1.015786709E0,-1.056768454E0,-7.426893586E-1
7.370880583E0,6.249523824E-1,-1.216385162E0,-4.820789570E-1
7.390851583E0,3.568843323E-1,-1.501851493E0,-1.349907501E0
7.410823583E0,-7.371456865E-2,-1.647018562E0,-2.566780906E0
7.430795583E0,-3.533852122E-1,-1.132239636E0,-3.196529540E0
7.450766583E0,4.397446040E-2,-4.178402764E-1,-2.594078048E0
7.470738583E0,5.224389610E-1,1.305683255E-3,-2.035397058E0
7.490710583E0,4.400671876E-1,4.935821843E-1,-2.161301644E0
7.510681583E0,2.046212835E-1,8.137365371E-1,-1.935575731E0
7.530653583E0,-4.315437013E-2,5.921761805E-1,-7.725814945E-1
7.550625583E0,-2.292010778E-1,5.611999708E-1,5.075231159E-1
7.570596583E0,-3.229367138E-1,8.781611592E-1,6.689816970E-1
7.590568583E0,-2.104467366E-1,1.604584733E0,3.725845814E-3
7.610540583E0,-1.865707461E-1,2.124782274E0,-8.182535112E-2
7.630511583E0,1.285022301E-1,1.739186468E0,1.148128860E0
7.650483583E0,-3.935620522E-1,1.110618972E0,3.064392407E0
7.670455583E0,-1.004194530E0,9.791548526E-1,3.823402514E0
7.690426583E0,-1.075621778E0,1.344439770E0,2.821324822E0
7.710398583E0,-4.474084034E-1,1.594080210E0,1.931582667E0
7.730369583E0,2.847829008E-1,1.898999643E0,2.205245224E0
7.750341583E0,6.899791946E-1,1.480184051E0,2.513467748E0
