"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.223718120E2,6.500658767E1,2.558498969E1,2.277958116E1,1.562149543E0,2.365139269E2,4.739284938E0,3.371011021E0
1.233718102E2,6.500657569E1,2.558496769E1,2.267124083E1,1.568740562E0,2.290412701E2,4.739022244E0,3.371380312E0
1.243718084E2,6.500656386E1,2.558494586E1,2.256631693E1,1.558217783E0,2.254444213E2,4.738806346E0,3.371683770E0
1.253718063E2,6.500655468E1,2.558492348E1,2.302565258E1,1.561869028E0,2.234877013E2,4.737650685E0,3.373307430E0
1.263718046E2,6.500654545E1,2.558489589E1,2.283443261E1,1.559192197E0,2.247784212E2,4.733523436E0,3.379096463E0
1.273718029E2,6.500653740E1,2.558486990E1,2.298392454E1,1.566958194E0,2.305094560E2,4.733915396E0,3.378547329E0
1.283718003E2,6.500652830E1,2.558484636E1,2.328311118E1,1.545547521E0,2.286757305E2,4.734552194E0,3.377654890E0
1.293717989E2,6.500651705E1,2.558483041E1,2.329098567E1,1.485161826E0,2.205911614E2,4.733591345E0,3.379001333E0
1.303717966E2,6.500650986E1,2.558480244E1,2.269554456E1,1.502411732E0,2.257049276E2,4.732627849E0,3.380350674E0
1.313717953E2,6.500650191E1,2.558477404E1,2.271244901E1,1.529219765E0,2.276976937E2,4.730857376E0,3.382828036E0
1.323721433E2,6.500649224E1,2.558474982E1,2.306836693E1,1.548732257E0,2.286323433E2,4.730319248E0,3.383580478E0
1.333721477E2,6.500648158E1,2.558472919E1,2.264689290E1,1.562467213E0,2.257558589E2,4.729514775E0,3.384704866E0
1.343721436E2,6.500647120E1,2.558470731E1,2.238021831E1,1.544180306E0,2.235746359E2,4.728028250E0,3.386781053E0
1.353721386E2,6.500646321E1,2.558468188E1,2.256497005E1,1.547192108E0,2.274818918E2,4.729491690E0,3.384737122E0
1.363721389E2,6.500645419E1,2.558465590E1,2.234934291E1,1.553822690E0,2.309055724E2,4.729876036E0,3.384200012E0
1.373721308E2,6.500644643E1,2.558462859E1,2.208664156E1,1.560919400E0,2.352220143E2,4.727097577E0,3.388079918E0
1.383721277E2,6.500643532E1,2.558460611E1,2.193691367E1,1.556182397E0,2.297806569E2,4.727680327E0,3.387266709E0
1.393721198E2,6.500642540E1,2.558458092E1,2.159671444E1,1.550320354E0,2.269864280E2,4.727666915E0,3.387285429E0
1.403721094E2,6.500641788E1,2.558455093E1,2.145870983E1,1.575567432E0,2.324331377E2,4.728253969E0,3.386465922E0
1.413720998E2,6.500640864E1,2.558452412E1,2.094844687E1,1.559018308E0,2.327217246E2,4.727670423E0,3.387280533E0
1.423720962E2,6.500639842E1,2.558449742E1,2.073235812E1,1.561975328E0,2.307932769E2,4.726536518E0,3.388862579E0
1.433720856E2,6.500639056E1,2.558446627E1,2.090377376E1,1.590020752E0,2.334133370E2,4.726996053E0,3.388221562E0
1.443720791E2,6.500638037E1,2.558444316E1,2.061416397E1,1.557207116E0,2.294686554E2,4.728014433E0,3.386800342E0
1.453720744E2,6.500637008E1,2.558441875E1,2.083079300E1,1.562075407E0,2.262931364E2,4.727114825E0,3.388055853E0
1.463720642E2,6.500636007E1,2.558439225E1,2.072470184E1,1.564267710E0,2.269947629E2,4.725558630E0,3.390226050E0
1.473720533E2,6.500634943E1,2.558436473E1,2.069338344E1,1.567599174E0,2.270194034E2,4.726200660E0,3.389330960E0
1.483720427E2,6.500634070E1,2.558433568E1,2.077130317E1,1.564909662E0,2.328651665E2,4.726755812E0,3.388556702E0
1.493720328E2,6.500632956E1,2.558431131E1,2.084503619E1,1.562083492E0,2.291501993E2,4.727372389E0,3.387696463E0
1.503720231E2,6.500631918E1,2.558428543E1,2.075036937E1,1.565013645E0,2.279741013E2,4.728667592E0,3.385888338E0
1.513720137E2,6.500631245E1,2.558425562E1,2.084923478E1,1.563991241E0,2.316906664E2,4.728436876E0,3.386210528E0
1.523720053E2,6.500630441E1,2.558422639E1,2.048740953E1,1.550444236E0,2.353588792E2,4.728228207E0,3.386501891E0
